temperature,relative_humidity,luxes,time,date
 29.80,40.40,45.83,12:28:12,31/07/2021
 29.70,40.80,45.00,12:29:46,31/07/2021
 29.90,41.30,45.00,12:34:41,31/07/2021
 29.90,41.30,45.00,12:39:41,31/07/2021
 30.10,42.00,43.33,12:44:41,31/07/2021
 29.90,42.00,43.33,12:49:42,31/07/2021
 30.40,42.50,44.17,12:54:42,31/07/2021
 30.30,42.40,44.17,12:59:42,31/07/2021
 30.30,42.60,42.50,13:04:42,31/07/2021
 30.70,42.90,43.33,13:09:43,01/08/2021
 30.30,42.30,45.00,13:14:43,01/08/2021
 30.30,42.20,44.17,13:19:43,01/08/2021
 30.40,43.20,40.83,13:24:43,01/08/2021
 30.20,42.20,41.67,13:29:43,01/08/2021
 30.50,42.90,38.33,13:34:43,01/08/2021
 30.40,42.60,40.83,13:39:44,02/08/2021
 30.80,42.80,41.67,13:44:44,02/08/2021
 30.30,41.70,41.67,13:49:44,02/08/2021
 30.30,40.80,41.67,13:54:44,02/08/2021
 30.20,40.20,40.83,13:59:45,02/08/2021
 30.50,41.10,40.83,14:04:45,02/08/2021
 29.90,40.00,44.17,14:09:45,02/08/2021
 30.20,41.80,40.00,14:14:46,02/08/2021
 30.10,41.30,38.33,14:19:46,02/08/2021
 30.50,42.30,40.00,14:24:46,02/08/2021
 30.10,41.50,42.50,14:29:46,03/08/2021
 30.00,40.50,42.50,14:34:46,03/08/2021
 30.10,40.90,36.67,14:39:47,03/08/2021
 30.00,40.90,39.17,14:44:47,03/08/2021
 29.90,39.80,40.00,14:49:47,03/08/2021
 29.80,39.20,40.83,14:54:47,03/08/2021
 29.60,39.40,40.83,14:59:48,03/08/2021
 29.70,39.70,40.83,15:04:48,03/08/2021
 29.60,39.70,39.17,15:09:48,04/08/2021
 30.00,40.40,37.50,15:14:49,04/08/2021
 29.90,39.30,74.17,15:19:48,04/08/2021
 29.90,38.70,73.33,15:24:49,04/08/2021
 29.80,38.20,71.67,15:29:50,04/08/2021
 29.70,37.90,68.33,15:34:49,04/08/2021
 29.80,37.70,70.00,15:39:50,04/08/2021
 29.60,37.40,68.33,15:44:50,01/09/2021
 29.60,37.10,69.17,15:49:51,01/09/2021
 29.50,37.10,71.67,15:54:51,01/09/2021
 29.50,37.50,67.50,15:59:51,01/09/2021
 29.50,37.50,66.67,16:04:51,01/09/2021
 29.40,37.50,65.00,16:09:51,01/09/2021
 29.80,37.20,60.83,16:14:52,01/09/2021
 29.70,37.40,62.50,16:19:51,01/09/2021
 29.70,37.10,62.50,16:24:52,01/09/2021
 29.40,36.80,62.50,16:29:52,01/09/2021
 29.60,36.70,61.67,16:34:52,20/09/2021
 29.30,36.50,61.67,16:39:53,20/09/2021
 29.60,36.40,60.83,16:44:52,20/09/2021
 29.30,36.30,60.83,16:49:53,20/09/2021
 29.40,36.10,60.00,16:54:54,20/09/2021
 29.40,36.00,60.00,16:59:53,20/09/2021
 29.30,35.70,59.17,17:04:54,20/09/2021
 29.20,35.70,59.17,17:09:54,20/09/2021
 29.50,35.50,59.17,17:14:54,20/09/2021
 29.10,35.40,59.17,17:19:54,25/09/2021
 29.40,35.30,58.33,17:24:55,25/09/2021
 29.20,35.20,56.67,17:29:56,25/09/2021
 29.10,35.10,55.83,17:34:55,25/09/2021
 29.00,34.90,55.00,17:39:56,25/09/2021
 29.00,35.00,57.50,17:44:56,25/09/2021
 29.10,36.20,55.00,17:49:56,25/09/2021
 29.30,36.00,51.67,17:54:56,25/09/2021
 29.20,35.60,53.33,17:59:57,25/09/2021
 29.20,35.10,50.83,18:04:57,25/09/2021
 29.20,34.80,50.83,18:09:57,25/09/2021
 29.10,34.90,50.00,18:14:57,25/09/2021
 29.40,35.70,48.33,18:19:57,25/09/2021
 29.10,35.10,47.50,18:24:58,25/09/2021
 29.10,34.60,47.50,18:29:57,25/09/2021
 29.20,34.30,46.67,18:34:58,25/09/2021
 29.10,35.40,45.00,18:39:59,25/09/2021
 29.30,35.10,41.67,18:44:58,25/09/2021
 29.30,34.70,44.17,18:49:59,29/09/2021
 29.30,35.40,42.50,18:54:59,29/09/2021
 29.40,35.50,40.00,18:59:59,29/09/2021
 29.40,34.90,39.17,19:05:00,29/09/2021
 29.20,35.40,39.17,19:10:00,29/09/2021
 29.30,35.50,38.33,19:15:00,29/09/2021
 29.30,35.00,38.33,19:20:00,29/09/2021
 29.40,35.90,37.50,19:25:01,29/09/2021
 29.40,35.30,38.33,19:30:00,29/09/2021
 29.40,35.20,39.17,19:35:01,29/09/2021
 29.50,36.00,35.83,19:40:02,29/09/2021
 29.40,35.60,35.83,19:45:01,29/09/2021
 29.40,35.40,35.83,19:50:02,29/09/2021
 29.60,35.80,38.33,19:55:01,03/10/2021
 29.70,36.20,38.33,20:00:02,03/10/2021
 30.00,37.00,38.33,20:05:02,03/10/2021
 30.40,37.20,0.00,20:10:03,03/10/2021
 30.70,37.20,0.00,20:15:05,03/10/2021
 31.00,37.60,0.00,20:20:05,03/10/2021
 31.20,37.50,0.00,20:25:05,03/10/2021
 31.50,37.70,0.00,20:30:05,03/10/2021
 31.70,37.60,0.00,20:35:06,03/10/2021
 31.70,37.50,0.00,20:40:06,03/10/2021
 32.00,38.10,0.00,20:45:06,03/10/2021